"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","LVMH","MC.PA","374726760396","750.136","France"
"2","Hermès","RMS.PA","236132414682","2254.66","France"
"3","Inditex","IDEXY","153526681600","24.58","Spain"
"4","TJX Companies","TJX","127740854272","113.03","United States"
"5","Dior","CDI.PA","127433327925","706.35","France"
"6","Nike","NKE","109247471616","72.38","United States"
"7","Fast Retailing","9983.T","81048936932","264.242","Japan"
"8","Cintas","CTAS","77007372288","758.97","United States"
"9","Ross Stores","ROST","48201588736","144.5","United States"
"10","Adidas","ADS.DE","44846310319","251.171","Germany"
"11","Kering","KER.PA","42213136870","344.352","France"
"12","lululemon athletica","LULU","35641819136","285.13","Canada"
"13","H&amp;M","HM-B.ST","25724790641","15.9728","Sweden"
"14","Prada","1913.HK","17265528782","6.74746","Italy"
"15","Moncler","MONC.MI","16723550637","61.8669","Italy"
"16","Burlington Stores","BURL","15713960960","246.2","United States"
"17","Next plc","NXT.L","13818578177","115.189","United Kingdom"
"18","Ralph Lauren","RL","10511646720","167.77","United States"
"19","Tapestry","TPR","9579235328","41.69","United States"
"20","Gap Inc.","GPS","8562779648","22.83","United States"
"21","Abercrombie &amp; Fitch","ANF","8022509568","156.98","United States"
"22","JD Sports Fashion","JD.L","8015786772","1.54651","United Kingdom"
"23","LPP SA","LPP.WA","7770907565","4188.74","Poland"
"24","Levi Strauss","LEVI","7298155520","18.36","United States"
"25","PUMA","PUM.DE","7200916118","48.0558","Germany"
"26","Zalando","ZAL.DE","6801098826","26.1083","Germany"
"27","Gildan","GIL","6637216768","39.26","Canada"
"28","Brunello Cucinelli","BC.MI","6473007263","95.1966","Italy"
"29","VF Corporation","VFC","6236167168","16.03","United States"
"30","Bosideng","3998.HK","5671726142","0.515982","Hong Kong"
"31","Phillips-Van Heusen","PVH","5667891200","101.47","United States"
"32","Page Industries","PAGEIND.NS","5384232180","482.722","India"
"33","Columbia Sportswear","COLM","4672569856","79.03","United States"
"34","Urban Outfitters","URBN","4311307264","46.16","United States"
"35","Capri Holdings","CPRI","3985896192","34.17","United Kingdom"
"36","Pepkor","PPH.JO","3973653300","1.0787","South Africa"
"37","American Eagle Outfitters","AEO","3914850048","19.93","United States"
"38","Aritzia","ATZ.TO","3852473016","34.3162","Canada"
"39","Kontoor Brands","KTB","3837175552","68.73","United States"
"40","Aditya Birla Fashion and Retail","ABFRL.NS","3788473785","3.74981","India"
"41","Boot Barn Holdings","BOOT","3649917184","119.66","United States"
"42","Burberry","BRBY.L","3381598955","9.43042","United Kingdom"
"43","UniFirst","UNF","3372507648","181.19","United States"
"44","Vedant Fashions","MANYAVAR.NS","3023115311","12.4472","India"
"45","Topsports International","6110.HK","3017103735","0.486534","Hong Kong"
"46","Under Armour","UA","2872856576","6.51","United States"
"47","Ermenegildo Zegna","ZGN","2783447296","11.12","Italy"
"48","Lojas Renner","LREN3.SA","2352894394","2.37254","Brazil"
"49","The Foschini Group","TFG.JO","2294844400","7.11769","South Africa"
"50","Carter's","CRI","2276782592","62.38","United States"
"51","Buckle","BKE","1972744704","38.85","United States"
"52","Hanesbrands","HBI","1905471488","5.42","United States"
"53","Savers Value Village","SVV","1875192448","11.59","United States"
"54","Fila","081660.KS","1760119169","29.4249","South Korea"
"55","F&amp;F Co","383220.KS","1757039036","46.1567","South Korea"
"56","Oxford Industries","OXM","1583629824","101.02","United States"
"57","Mavi Giyim Sanayi ve Ticaret","MAVI.IS","1544082110","3.88687","Turkey"
"58","Victoria's Secret &amp; Co","VSCO","1421913472","18.16","United States"
"59","Guess","GES","1268035712","23.69","United States"
"60","Revolve","RVLV","1243555328","17.56","United States"
"61","G-III Apparel Group","GIII","1172384640","26.06","United States"
"62","Arvind","ARVIND.NS","1170978740","4.47335","India"
"63","Canada Goose","GOOS","1153901312","11.9","Canada"
"64","FIGS","FIGS","1000940672","5.88","United States"
"65","Fenix Outdoor","FOI-B.ST","950313852","71.3037","Switzerland"
"66","PDS Multinational","PDSL.NS","813849667","6.17395","India"
"67","Gokaldas Exports","GOKEX.NS","777339901","10.8859","India"
"68","Torrid","CURV","775320512","7.43","United States"
"69","About You","YOU.DE","677218987","3.88847","Germany"
"70","Lux Industries","LUXIND.NS","655181303","21.7873","India"
"71","Marimekko","MEKKO.HE","610714197","15.0528","Finland"
"72","Boohoo Group","BOO.L","574921853","0.453023","United Kingdom"
"73","ASOS","ASC.L","549872207","4.60784","United Kingdom"
"74","Stitch Fix","SFIX","544417408","4.45","United States"
"75","Lands' End","LE","531708672","16.93","United States"
"76","Thob Al Aseel Company","4012.SR","498439043","1.2461","Saudi Arabia"
"77","Kewal Kiran Clothing","KKCL.NS","495467355","8.02105","India"
"78","J.Jill","JILL","455462208","38.77","United States"
"79","Zumiez","ZUMZ","453943808","22.39","United States"
"80","TCNS Clothing","TCNSBRANDS.NS","410889799","6.49027","India"
"81","Interloop","ILP.PK","391044553","0.278977","Pakistan"
"82","MYT Netherlands Parent (Mytheresa)","MYTE","348049824","4.1","Germany"
"83","Dollar Industries","DOLLAR.NS","347245598","6.12252","India"
"84","Superior Group of Companies","SGC","333564384","19.92","United States"
"85","Eagle Nice","2368.HK","333024162","0.58","Hong Kong"
"86","Giordano","0709.HK","330392364","0.204856","Hong Kong"
"87","Cantabil Retail India","CANTABIL.NS","278228726","3.31605","India"
"88","Rupa Company","RUPA.NS","262490373","3.30074","India"
"89","ThredUp","TDUP","224922240","2.04","United States"
"90","Destination XL","DXLG","210811776","3.62","United States"
"91","Texwinca Holdings","0321.HK","176906281","0.128035","Hong Kong"
"92","Kitex Garments","KITEX.NS","174645262","2.62624","India"
"93","a.k.a. Brands","AKA","173000848","16.5","United States"
"94","Tillys","TLYS","170563248","5.67","United States"
"95","GEOX","GEO.MI","169288208","0.663326","Italy"
"96","Lakeland Industries","LAKE","168403968","22.77","United States"
"97","Monte Carlo Fashions","MONTECARLO.NS","157018232","7.56959","India"
"98","Björn Borg","BORG.ST","139290274","5.53873","Sweden"
"99","Duluth Holdings","DLTH","134300864","3.83","United States"
"100","Cato Fashion","CATO","106476968","5.18","United States"
"101","Allbirds","BIRD","101494192","0.6446","United States"
"102","The Children's Place","PLCE","97344808","7.66","United States"
"103","LightInTheBox Holding","LITB","77828720","0.7001","Singapore"
"104","Lulu's Fashion Lounge","LVLU","70255728","1.7","United States"
"105","Rent the Runway","RENT","62414084","16.77","United States"
"106","Global Fashion Group","GFG.DE","54655149","0.244527","Luxembourg"
"107","Söktas Tekstil","SKTAS.IS","38417491","0.173052","Turkey"
"108","Grand Twins International Cambodia","GTI.KH","33081239","0.83","Cambodia"
"109","Wolford","WOL.VI","31256497","3.26762","Austria"
"110","Perfect Moment","PMNT","26610780","1.7","United Kingdom"
"111","Vince Holding","VNCE","17304648","1.38","United States"
"112","MGO Global","MGOL","7136801","3.93","United States"
"113","Kidpik","PIK","5776854","2.96","United States"
"114","Delta Apparel","DLA","4089667","0.58","United States"
"115","Express","EXPR","3109395","0.83","United States"
